genotype,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150
33-16,-4.46659678667327,-6.38738655350765,-5.32148702407976,-6.61782200150757,-3.08415961791243,-4.33116856600219,-5.69246800968709,-6.47399346755467,-3.41937118720381,-5.31040148140521,-6.58858758262236,-6.64410503512253,-5.98323976035271,-6.54762626933151,-4.38652879944998,-6.18219840008064,-5.3218094451044,-6.01688090895695,-4.44869164099106,-4.46689016114086,-5.72628262941452,-5.73450865233175,-5.48350729773229,-5.29480770537864,-4.87765411759719,-4.3865846295532,-3.92370956611863,-3.21924095773255,-5.54754316455274,-5.10219640714728,-4.93922300818374,-5.54051037816035,-5.58475096595244,-5.08876102295273,-6.72047607122828,-6.50582755193142,-6.54820390576848,-6.38320773126597,-5.31775425015622,-6.25961509054863,-6.66103995084409,-6.22186441723175,-5.47979041234242,-6.52677100548484,-5.79215509764772,-6.42630896864467,-5.80084432606525,-5.66214597043579,-5.87692258881392,-6.43822405620583,-6.38367750920822,-5.93835623284262,-5.94929322934719,-4.13602529693441,-6.28572904102567,-6.45705007067851,-6.48973172297616,-6.24335326121356,-6.13411095324762,-6.08025253461075,-6.06114225550417,-5.37294133349544,-6.57740878372668,-5.16055504012924,-5.17243057486542,-6.27892605280511,-4.02206147645981,-5.93880002648484,-3.44251598432189,-6.32454717242212,-6.16740885259367,-6.13018517437745,-6.21485114266161,-6.26335611189415,-6.66789065987399,-6.50111386670239,-6.64792030240587,-5.79443254230484,-5.73551251039683,-4.65035881640189,-6.05404944470381,-4.44354411184132,-5.82603057814441,-5.73636189132447,-5.25881264395811,-6.11411781310879,-4.99211029075418,-5.34822746205524,-6.14737645094178,-6.15403553218691,-5.27949985749227,-6.40337730906273,-4.44126785314347,-6.50466875528742,-6.2664134419107,-6.23354163198443,-6.43169702062616,-6.24048511964732,-4.78688840713138,-5.04385560121707,-4.9771803562681,-5.65545212228342,-5.73658906847649,-5.72393893252596,-6.35126409981978,-6.15318680881416,-6.36596478038406,-5.84611254675291,-4.39281590930335,-6.24893939712613,-5.96136618682791,-5.05630560027642,-6.30860684450146,-6.59864389913144,-6.46327172678212,-5.84517872789268,-4.49528638513646,-6.6800935959496,-4.74890628954575,-6.05659459192015,-6.40550809721731,-6.63776777734155,-6.46002474318836,-6.45776772613418,-6.5637755223242,-6.3841090609401,-6.05361839621929,-5.83765507380839,-3.12761033887831,-4.91426395381503,-4.69513181045669,-6.55945603187076,-4.68029329849209,-6.26211810586545,-6.49636927211455,-5.14459936052286,-2.53148122183589,-6.45836399809443,-6.80137364662168,-6.01371320937134,-6.48662952129947,-6.49610013491884,-4.12261536317794,-6.73010111682088,-4.91811563471047,-6.50787363649777,-5.39061017815068,-6.8631950672378,-3.72018328711028,-3.74145380379312
38-11,-4.4430382531046,-6.38738655350765,-4.9461954410993,-6.70568288631836,-3.25450592887709,-3.96702405275957,-5.69246800968709,-6.46942220576671,-3.41937118720381,-5.04043780519229,-6.63064138828498,-6.65051433298711,-6.04662560197041,-6.50535551067282,-4.38652879971061,-6.06145340652949,-5.45494839175331,-5.99205102810404,-4.10995106017914,-4.43827890602457,-5.83441375399543,-5.50401758853674,-5.37141340834335,-5.58805769510108,-4.76515610250398,-4.39640595987002,-3.91250310579822,-3.10702304008455,-5.54754316455274,-5.06415337600574,-5.29246203205684,-5.34270673502526,-5.58304316311209,-4.98329629681198,-6.74068492277631,-6.47203295569634,-6.53496425879051,-6.43984849560803,-5.5426517969481,-6.25961509369559,-6.6771921960641,-6.33471522335448,-5.47979041234242,-6.5267710074953,-5.79215510364633,-6.42630896864467,-5.78736341924766,-5.66968663054002,-6.00262975079426,-6.43796612264434,-6.3917896236597596,-6.02429844209558,-6.2950440328008,-4.61068944882641,-6.4971769395277,-6.44403227988336,-6.49951279916432,-6.17739474728213,-6.20370357772525,-6.10813673652469,-5.92400211651807,-5.3775269483282,-6.53912935433997,-5.21896000049006,-5.77365691221182,-6.27253092632607,-4.00610242262017,-5.93442589592581,-3.42688930574737,-6.32161875408893,-6.18592941315963,-6.29585001480019,-6.34836552856874,-6.3349885854469,-6.66789065987399,-6.53657014104626,-6.73454802511934,-5.79443254230484,-5.73551251026807,-4.69310423002788,-6.07108578338715,-4.30992354972664,-5.89266932495235,-5.85575995021621,-5.25881264395811,-6.11088019621359,-5.0961788567858,-5.12949373444257,-5.85611182413911,-6.38583585807237,-5.39135725152203,-6.40337730906273,-4.81668244776126,-6.50725678696805,-6.26641344397128,-6.3252011462406,-6.46893370709298,-6.2613419526418,-4.64646193322802,-5.12427801443277,-4.93974317046807,-5.65545212228342,-5.54736348048521,-5.70878516235899,-6.35126409981978,-6.17743085749631,-6.37025838617359,-5.81792407273116,-4.47319595771,-6.28143269250556,-5.97341174761168,-5.05630560027642,-6.66731048504511,-6.59864389913144,-6.23497771723895,-5.84517872789268,-4.5295194675592,-6.678495716767,-4.74890628954575,-6.13701935479175,-6.44600554130679,-6.68129495470158,-6.64052107906384,-6.48380654395052,-6.56377552241937,-6.54191200026251,-6.05361839540273,-6.14218365834108,-3.46038029522913,-4.91426395331094,-4.73441075713226,-6.55945603187076,-4.99735731311244,-6.26211809485912,-6.496369272009,-5.2808384616073,-2.265754601787,-6.3228955610257,-6.80076148547568,-6.22683695711809,-6.48662952129947,-6.69788877331534,-3.99841403729651,-6.75957976380396,-5.32717218295138,-6.59378307245501,-5.97372877510443,-6.86090684360739,-3.66684634669348,-3.78637052987515
4226,-4.51060557612582,-6.38738655350765,-4.82566825790904,-6.37556251012705,-3.04288423418774,-4.16318415346813,-5.69246800968709,-6.47312048601063,-3.41937118720381,-5.08477334022303,-6.63765181917887,-6.66114615652917,-6.09358419485967,-6.54728331434768,-4.38652879945852,-6.01956344240339,-5.27807104912077,-6.06316865278548,-4.3613334000659,-4.51704531018531,-5.96265554056919,-5.85460370495996,-5.5040048080398,-5.51706770975924,-4.78371108384674,-4.44679085581653,-3.94455214297458,-3.02722182470059,-5.54754316455274,-5.21559247798403,-5.23159649262676,-5.4750559774981,-5.58736563665382,-4.90506039142358,-6.71816622485702,-6.50938442406521,-6.53462671190361,-6.24487190937159,-5.52053603066873,-6.25961509298893,-6.68249693398556,-6.27154764020138,-5.47979041234242,-6.52677100753479,-5.79215510226091,-6.42630896864467,-5.81018731940594,-5.65800745655432,-5.95687126817039,-6.43914016500327,-6.41689599377403,-6.13442346998962,-6.04124809636959,-4.64284959115651,-6.39991945406606,-6.45417935962051,-6.50189456656182,-6.22766547085999,-6.09671613306002,-5.99796493543245,-6.09132824518841,-5.45526582655981,-6.47268641081114,-5.20971459937494,-5.32117143161901,-6.52201946742814,-3.82414093354411,-5.94438391084347,-3.54344080941086,-6.32391959197228,-6.17786893678703,-6.16366776375513,-6.36021359900325,-6.25042109975283,-6.66789065987399,-6.50687425121458,-6.62394422599194,-5.79443254230484,-5.73551251226883,-4.69738182699077,-6.02797025829993,-4.26154464578154,-6.03986115868577,-5.92000604298621,-5.25881264395811,-6.11578916937995,-5.04840754372467,-5.35650481990191,-6.18484611392294,-6.35828942205083,-5.37003135144127,-6.40337730906273,-4.77358707325766,-6.50685616622973,-6.26641343614611,-6.29906875438649,-6.50011699771881,-6.21271096013704,-4.82293977513516,-4.9964412441842,-4.98653556163389,-5.65545212228342,-5.78150699458552,-5.87199828051195,-6.35126409981978,-6.17227708180523,-6.36991787110514,-5.97955433866236,-4.37771774872425,-6.28333083188115,-5.94538793009576,-5.05630560027642,-6.61964964656274,-6.59864389913144,-6.39475337013822,-5.84517872789268,-4.57336219718687,-6.6800935959496,-4.74890628954575,-6.0333746237385,-6.38762801338138,-6.56517983087404,-6.42450641991435,-6.47470873291393,-6.56377552260103,-6.52185281013083,-6.05361839729377,-6.17950774700283,-2.99544779463187,-4.91426395242624,-4.88268492699184,-6.55945603187076,-4.72248340765962,-6.2621181205115,-6.49636927167454,-5.07614085473579,-2.27683663627726,-6.18474613098867,-6.80137364662168,-6.17338097423846,-6.48662952129947,-6.60769356010399,-4.13978416504648,-6.7032050587552,-5.06361737205175,-6.5687260880828,-5.74104822364789,-6.81379347630316,-3.7863520246008,-3.76169808410828
4722,-4.40743000708415,-6.38738655350765,-4.90105263665506,-6.61782091488662,-3.15291720018017,-4.10428771483869,-5.69246800968709,-6.47534143433529,-3.41937118720381,-5.16870122577113,-6.63765181908635,-6.66942089953559,-6.01620943475343,-6.49096204087876,-4.38652879921345,-6.11210216541599,-4.9912363072469,-6.0303395343494,-4.6130625766696,-4.46061874359907,-5.76218791916018,-5.59431573119227,-5.4822300075492,-5.37685322377661,-4.88413817910513,-4.40967082591398,-3.90931404097075,-3.02539789331498,-5.54754316455274,-5.22266486418839,-5.0898368204983,-5.61713439815538,-5.57529795574327,-4.8239625320263,-6.68319199777928,-6.49888494516986,-6.5531909313108,-6.41742607175459,-5.31783889049847,-6.25961509004059,-6.66093457608104,-6.26477878013052,-5.47979041234242,-6.5267710071318,-5.79215509464442,-6.42630896864467,-5.81853647580965,-5.61277685670111,-5.99576238091785,-6.43461265859308,-6.4188721341488,-6.13442347041905,-6.06944760407073,-4.3168080801,-6.4088665469526,-6.38566195469374,-6.49826629853784,-6.23584693629774,-6.19066962299983,-6.15231947598743,-5.90417248250755,-5.32772634100835,-6.46826869557625,-5.20818624233887,-4.99281811610487,-6.05678603868872,-3.84454999762412,-5.94372304101721,-3.49841302736627,-6.31796748552896,-6.15713924281646,-6.42671367862103,-6.26636785198196,-6.30420272910908,-6.66789065987399,-6.48590293473641,-6.63147338702946,-5.79443254230484,-5.73551251123787,-4.66902737818396,-6.00379854384615,-4.36428841561716,-5.86669563273817,-5.70247287755416,-5.25881264395811,-6.11863499722092,-5.01974719070441,-5.18157742312752,-6.0912514034078,-6.22187821214867,-5.26054228667951,-6.40337730906273,-4.53099679530431,-6.50537446122291,-6.2664134385573,-6.2534071505488,-6.44038397968013,-6.1788305442692,-4.57406695892202,-5.1092917652328,-4.94275934936466,-5.65545212228342,-5.61794285682982,-5.57094763161223,-6.35126409981978,-6.16324015596542,-6.40527355978917,-5.90078392216022,-4.39463697601124,-6.23956152075164,-5.8800955041356,-5.05630560027642,-6.70456195186143,-6.59864389913144,-6.43451167621234,-5.84517872789268,-4.51440186950383,-6.68084397024512,-4.74890628954575,-5.99292195499851,-6.47633175473819,-6.60665973124149,-6.41939816703931,-6.54480279925899,-6.56377552246372,-6.57342224360174,-6.05361839738105,-6.09345153801772,-3.11943388978974,-4.91426395147995,-4.68959440480683,-6.55945603187076,-4.77318167033063,-6.26211809373248,-6.49636927173682,-4.94653009738618,-2.57064698099235,-6.33591429112333,-6.78762730719116,-6.1213292584026,-6.48662952129947,-6.58366469644933,-4.15002929876169,-6.68291338877442,-5.36453808780077,-6.51074409334364,-5.7542573815765,-6.87471920591011,-3.79734527266954,-3.56741750838286
796,-4.41745334305388,-6.38738655350765,-5.07035649436663,-6.30967716118438,-2.88498843016128,-4.02498598884419,-5.69246800968709,-6.47553424906585,-3.41937118720381,-4.98601143790152,-6.63765181917887,-6.67091486004065,-6.0594536342561804,-6.53361295334348,-4.38652879942867,-6.04404367803247,-5.30114385942988,-6.08063876117336,-4.70061534820138,-4.48137118182893,-5.78595583806776,-5.80714596736329,-5.50769847606169,-5.50069655074363,-4.82740326623528,-4.42265429822258,-4.00190099621607,-3.19138758769572,-5.54754316455274,-5.21934480666313,-5.14023427323285,-5.72854440033865,-5.60542055579153,-4.90140188353385,-6.64404589563073,-6.50012750953706,-6.54439588142542,-6.56918045221281,-5.32976488150417,-6.25961509389975,-6.67450151481423,-6.29635736492535,-5.47979041234242,-6.52677100581377,-5.79215510443801,-6.42630896864467,-5.82388892551251,-5.65084295293831,-5.96758829750233,-6.44151579024297,-6.39872284360971,-6.05766850572962,-6.00137638024064,-4.21134326799479,-6.34657706050367,-6.32429416821778,-6.4731727717811,-6.2075046693344,-6.20752914683732,-6.04815326794866,-6.16273493193176,-5.2898145061183,-6.53587040327685,-5.15956265351167,-5.8696664790677,-6.52201946742814,-4.21153656793167,-5.94479171064781,-3.51352251959906,-6.31246110808739,-6.16998907381054,-6.10022965172498,-6.19804910351289,-6.27685766694332,-6.66789065987399,-6.50021713718549,-6.70646488663372,-5.79443254230484,-5.73551251260331,-4.72690316579101,-6.05404944470381,-4.30726721201506,-5.92464303300364,-5.63882832733163,-5.25881264395811,-6.11352962369103,-5.29331344853074,-5.45429987241544,-6.21950967877875,-6.18606277854482,-5.29864206318283,-6.40337730906273,-4.52071992619637,-6.50618008680977,-6.26641344024272,-6.29855526490262,-6.44097392943524,-6.29428498592453,-5.11431393085491,-5.18082704194001,-5.06137297152052,-5.65545212228342,-5.7887694180458,-5.91983943188901,-6.35126409981978,-6.17074250223133,-6.32548204641321,-6.09355875466474,-4.40517675416065,-6.27888401744745,-5.97789824030566,-5.05630560027642,-6.54599847521461,-6.59864389913144,-6.20600112675402,-5.84517872789268,-4.62686273665998,-6.67273836081285,-4.74890628954575,-6.13263672690177,-6.46033550504106,-6.63776777734155,-6.54189375352338,-6.40572689377476,-6.56377552242233,-6.49582449721699,-6.05361839636617,-6.21409404766005,-3.48703426074415,-4.9142639541535,-4.76985902133801,-6.55945603187076,-4.77343904118307,-6.2621181205115,-6.49636927198783,-5.00042050177152,-2.23665435009132,-6.38960492492269,-6.78052465405949,-6.20906430629401,-6.48662952129947,-6.48922043422096,-4.09174420943634,-6.73010111682088,-5.12514844076512,-6.55710165705685,-5.52214038534953,-6.79874039480686,-4.01123128966884,-3.57011213634491
A188,-4.38335990476267,-6.38738655350765,-4.86109271178054,-6.53902333197804,-3.1225418338639,-4.25238551931646,-5.69246800968709,-6.47568000822698,-3.41937118720381,-5.35968693374584,-6.59416105296718,-6.65098355868736,-6.05408917146835,-6.52911615845859,-4.38652879920269,-6.08704252501933,-5.24090685907996,-6.10609801208293,-4.42589777046813,-4.50878779552719,-5.8944031739514,-5.48531479795056,-5.4821860313365,-5.46889622789799,-4.81401643290644,-4.41742345391279,-3.94508151663895,-3.08844459146129,-5.54754316455274,-5.21708494359159,-5.33445062066881,-5.64411704597375,-5.58209734495083,-4.69946178389294,-6.66900956016553,-6.51501227884784,-6.5594938794683,-6.4027966712169,-5.46727152131193,-6.25961509373147,-6.68696040436533,-6.28597362350693,-5.47979041234242,-6.52677100718123,-5.79215509560346,-6.42630896864467,-5.83360194696801,-5.6255493469673,-5.96950010410541,-6.43888402343734,-6.38947570001764,-6.02412290469073,-6.10328678770926,-4.58068799395806,-6.43785393037835,-6.31627309622219,-6.50189456656182,-6.23554749812868,-6.18209707218429,-5.95667509057689,-5.85816497632465,-5.3289632771682,-6.38996937745898,-5.02292005392938,-5.46844408093067,-6.2457893159127,-3.63326663270058,-5.9460773352153,-3.55446218507262,-6.31979525477525,-6.17928775829534,-6.15668878543112,-6.48973507078675,-6.288920837435,-6.66789065987399,-6.50869642066414,-6.67664049161994,-5.79443254230484,-5.73551251125154,-4.53854457420784,-5.99798528881805,-4.28940134176765,-5.89114367419875,-5.98171341326224,-5.25881264395811,-6.11873466224924,-5.21321961462136,-5.43325089666296,-6.06121158904132,-6.28629660336505,-5.3697989732149,-6.40337730906273,-4.93542153448713,-6.50813411261258,-6.26641344675414,-6.34099860787105,-6.51011601305989,-6.33916852290677,-4.56156431545788,-5.21708725322272,-4.92220091101862,-5.65545212228342,-5.83577323158133,-5.62267922109143,-6.35126409981978,-6.18425375405361,-6.49398476337466,-6.00122463932083,-4.40045955939241,-6.33406699589314,-6.04027325582555,-5.05630560027642,-6.60049302635199,-6.59864389913144,-6.20868889123608,-5.84517872789268,-4.61517209439771,-6.6800935959496,-4.74890628954575,-6.0723080334568,-6.47745987325814,-6.55962248353345,-6.08886983518591,-6.43811149647748,-6.56377552246276,-6.61099771294443,-6.05361839676835,-6.10993515925849,-3.47762875226484,-4.91426395301817,-4.64467528449051,-6.55945603187076,-4.88550183133196,-6.26211810987742,-6.49636927190234,-4.97360564337923,-2.22435653341856,-6.51025486409366,-6.80137364662168,-6.27419718737612,-6.48662952129947,-6.43966196362167,-4.1867840172319,-6.66274806388815,-5.36677903136943,-6.56288353365254,-5.07697037896444,-6.87875293025062,-3.96142932934307,-3.62123495248402
A214N,-4.535744888662,-6.38738655350765,-5.26316228196431,-6.35339238800516,-2.96814510450212,-4.00022301254161,-5.69246800968709,-6.46938423489397,-3.41937118720381,-5.22018312032411,-6.59885242601803,-6.64562495938371,-6.04414181289252,-6.5537192737407,-4.38652879929751,-6.1127701260632,-5.18648440318013,-5.99919038673185,-4.52834162708366,-4.49137797982512,-5.97669114472032,-5.7792028713012,-5.48431416919775,-5.40146896877979,-5.0272404204257,-4.41354634260207,-4.04790217141927,-3.19100636541835,-5.54754316455274,-5.11624324194059,-5.18999188246322,-5.68563459725159,-5.58322634414153,-4.79091461118999,-6.69562363479916,-6.51673607650576,-6.55518884627032,-6.53484213061616,-5.3926837300295,-6.25961509203974,-6.67331022403149,-6.32119999995459,-5.47979041234242,-6.52677100712106,-5.79215510826147,-6.42630896864467,-5.84084136427299,-5.68254253801533,-5.96129447793091,-6.43594499751338,-6.41093755250933,-5.97663416142099,-6.15666234231958,-4.50704403081096,-6.34927637123298,-6.48120754845149,-6.50605649488377,-6.18619942839878,-5.94215833924977,-6.03521196783786,-6.1844890970419,-5.20336804185792,-6.33339024128278,-5.00538891335532,-5.25879043871497,-6.60888758895224,-3.73565912124824,-5.95210594294888,-3.53548078278282,-6.32375181456957,-6.17329756920395,-6.32725749483578,-6.12275522878599,-6.3205027108953,-6.66789065987399,-6.51604621563697,-6.63835520234653,-5.79443254230484,-5.73551251372672,-4.83473138444336,-6.01573620028585,-4.40638853065582,-5.78330488050142,-5.69453398982591,-5.25881264395811,-6.12975936410993,-4.99775260150832,-5.4053879654614,-6.02234364585134,-6.38700309639662,-5.2685749501426304,-6.40337730906273,-4.5635322981782,-6.50778029979071,-6.26641343530064,-6.30142951372652,-6.54167439996527,-6.19240124296869,-4.62770748235312,-5.19034677560298,-4.97394059645239,-5.65545212228342,-5.75484419696065,-5.6676209593597,-6.35126409981978,-6.16789218105045,-6.33454914644626,-6.00225223611764,-4.38992125373034,-6.23357187527391,-5.91151175346452,-5.05630560027642,-6.64460227617479,-6.59864389913144,-6.4754213841215,-5.84517872789268,-4.58343191851061,-6.67183479901776,-4.74890628954575,-6.02054984367198,-6.41813842375161,-6.68129495470158,-6.64052107906384,-6.46533493926537,-6.56377552225451,-6.56836299922798,-6.05361839632955,-6.13386170166685,-3.36510186817877,-4.91426395044082,-4.63729069807378,-6.55945603187076,-4.58708407844606,-6.26211811114947,-6.49636927189256,-5.01510046380305,-2.27393313305634,-6.54533562924315,-6.79571966435733,-6.08613227936491,-6.48662952129947,-6.50661170031918,-4.21515097633724,-6.63970793143881,-5.22424194905817,-6.49853376048061,-6.09155615336304,-6.88147016503221,-3.87458040048125,-3.67701724583714
A239,-4.3467205721561,-6.38738655350765,-5.44865143689122,-6.21594291344099,-3.24597840519793,-4.5187217443547,-5.69246800968709,-6.47407645532263,-3.41937118720381,-5.35157266888337,-6.57804078765868,-6.66024146209285,-6.04673056601889,-6.52998637172131,-4.38652879999441,-6.14873513617987,-5.37379097853756,-5.98895255585399,-4.11705050553569,-4.52987903878319,-5.91036413529919,-5.44776718069626,-5.62628860683149,-5.4376943469379,-4.88273213865774,-4.43626510300363,-3.85453458910496,-3.14756882531902,-5.54754316455274,-5.39225159508941,-5.12088658831638,-5.5728825481771596,-5.59842802085857,-4.98980556778809,-6.71816622485702,-6.49452824668607,-6.54327583468702,-6.56918045221281,-5.30356974850314,-6.25961509275387,-6.67932325302523,-6.2271068255571,-5.47979041234242,-6.52677100753479,-5.7921550937282396,-6.42630896864467,-5.77808577680244,-5.62005093296979,-5.94551818489057,-6.44087481914518,-6.39626816453819,-6.11286847145435,-6.05930842634112,-4.50956003270248,-6.39086343953447,-6.45417935962051,-6.50189456656182,-6.23554749812868,-6.20540459821896,-5.88139430606979,-5.98311464106098,-5.21989499457589,-6.5944860464053,-5.13383136644386,-5.0261300003075,-6.18733786099842,-3.86069474277956,-5.94224201634766,-3.51425268521203,-6.31966564217045,-6.16597685832823,-6.36884207042409,-6.20376416185226,-6.32381462824697,-6.66789065987399,-6.53712561526655,-6.70646488663372,-5.79443254230484,-5.7355125125246,-4.63091474304776,-5.94126666228694,-4.26042115679371,-5.8635775193939,-5.81555531458248,-5.25881264395811,-6.11765358528877,-4.99347962795433,-5.27534607554583,-6.01841290645736,-6.30931868648664,-5.38927330746979,-6.40337730906273,-4.73815938256068,-6.5072585263474,-6.2664134347695,-6.37064640256927,-6.48336014451376,-6.28050786909433,-4.69416057426507,-5.15961678067196,-5.0945352043185,-5.65545212228342,-5.4750440422068,-5.70679860833896,-6.35126409981978,-6.18067120879379,-6.49398476337466,-6.00706774064183,-4.42629338891604,-6.33529287208228,-5.92624501199677,-5.05630560027642,-6.65090686709028,-6.59864389913144,-6.2160109105653,-5.84517872789268,-4.58153205148456,-6.6800935959496,-4.74890628954575,-6.1123330480981,-6.45509161194512,-6.63719834670558,-6.35541501365792,-6.50987180360137,-6.56377552260103,-6.56267111091946,-6.053618397266,-6.13104431288923,-3.58112202056518,-4.91426395633932,-4.80283336387514,-6.55945603187076,-4.92082997388012,-6.26211811238385,-6.49636927162707,-5.24221409196461,-2.27420586704333,-6.64681972709764,-6.80137364662168,-6.19621730831782,-6.48662952129947,-6.56445261196942,-4.21648784640075,-6.73010111682088,-5.29837767626338,-6.51001438245488,-5.80361258230603,-6.87875293025062,-3.88762485653168,-3.50136753512147
A554,-4.4387660981487,-6.38738655350765,-5.08735695140258,-6.05947344951578,-3.0915500874854,-4.08408188845384,-5.69246800968709,-6.47044153301801,-3.41937118720381,-5.17054364393336,-6.59959519168937,-6.66942089953559,-6.0319403776438,-6.51642559375718,-4.38652879961105,-6.16911648449627,-5.40754515353038,-5.97296048918116,-4.28500172491182,-4.44062720374342,-5.87544647504389,-5.81516014032552,-5.46091857856209,-5.39580984137318,-4.83487061548991,-4.43490459855995,-3.94071760274034,-3.11499850590501,-5.54754316455274,-5.17120613921848,-5.2092269592369,-5.41655375451442,-5.58080975176167,-5.11566462926415,-6.71816622485702,-6.48366363871064,-6.5325505322515,-6.48744210707773,-5.5010050717311,-6.25961509468876,-6.67183331346598,-6.32266308586858,-5.47979041234242,-6.52677100753479,-5.79215509978429,-6.42630896864467,-5.77915183291787,-5.64370286326692,-6.00296949552759,-6.43572227066522,-6.38073913253872,-5.99906388103393,-5.89263584384231,-4.70494618226194,-6.37085096565342,-6.4393435446631,-6.50189456656182,-6.18643233241652,-6.17037544308733,-6.13984560378564,-6.09063799298354,-5.21317008707039,-6.5944860464053,-5.18374873119988,-5.25230226391382,-6.12407796730803,-4.14483080027078,-5.94010266618412,-3.48380614653149,-6.32568501991816,-6.1662221501614,-6.14758276070837,-6.24607477625433,-6.28162154177956,-6.66789065987399,-6.49245858645936,-6.63147650795256,-5.79443254230484,-5.73551251141935,-4.63946070828673,-5.99446210925794,-4.43778134592182,-5.84720591036493,-5.96217073141771,-5.25881264395811,-6.11631132347456,-4.96917644089704,-5.26745550422044,-6.01315444572047,-6.25398690106259,-5.31018924897649,-6.40337730906273,-4.78259673823837,-6.5069363378211,-6.26641343560115,-6.33979102670567,-6.46104171061256,-6.21288817139855,-4.50146645074241,-5.24125867330773,-5.0270225926979,-5.65545212228342,-5.61537573832623,-5.54192172244249,-6.35126409981978,-6.18117807855265,-6.36939926177144,-5.94989981780434,-4.46372192666686,-6.26939257962307,-5.97744036795709,-5.05630560027642,-6.70284213207673,-6.59864389913144,-6.47185728263481,-5.84517872789268,-4.4749523310697,-6.6800935959496,-4.74890628954575,-6.05448405951571,-6.47745987325814,-6.49755111851862,-5.97393733746767,-6.42778187403137,-6.56377552249381,-6.56873563297435,-6.05361839624694,-6.31548039934944,-3.04592785043923,-4.91426395146562,-4.72255074684143,-6.55945603187076,-4.73407666825084,-6.26211810626165,-6.49636927211455,-5.1651179722055,-2.40151031007407,-6.26138548934562,-6.80137364662168,-6.08043436631107,-6.48662952129947,-6.64949105000837,-4.14699394676072,-6.65989507073382,-5.22733749532619,-6.57062744022777,-5.95809173526376,-6.86850738772728,-3.87898330264907,-3.66520288607224
A556,-4.27693891016591,-6.38738655350765,-4.89005876526922,-5.78018203991196,-3.33872775695409,-4.16345378383135,-5.69246800968709,-6.47189121383629,-3.41937118720381,-5.24683195227486,-6.58618717770985,-6.66942089953559,-6.16355140682962,-6.55850931872128,-4.38652880011143,-6.16079234809541,-5.33507710339504,-6.06550664828632,-4.3485958989232,-4.55563762379544,-5.97746312943286,-5.57350206592045,-5.57464117820112,-5.31174660056268,-4.98823357205052,-4.42487164524245,-3.92935664905683,-2.92798194817036,-5.54754316455274,-5.38076439351307,-5.19609305563829,-5.42131232220228,-5.59759573541151,-5.07113613265247,-6.70576958426995,-6.49185402587416,-6.57433987583422,-6.32151590066617,-5.59988479321379,-6.25961509381572,-6.69084961900539,-6.34082765885225,-5.47979041234242,-6.52677100743189,-5.79215510391155,-6.42630896864467,-5.79258220106548,-5.65672916833001,-5.9933787847473,-6.44075796353325,-6.41101340314829,-6.05360894593941,-6.0520442625355,-4.69855414095782,-6.54827739553297,-6.45417935962051,-6.50189456656182,-6.21250923073975,-6.17778549930723,-6.030604479524,-6.05838977255764,-5.26929257249636,-6.5944860464053,-5.1714669964391,-5.4184354983506,-6.42324981976218,-4.36151512079941,-5.93908022813484,-3.4865028839933,-6.327286909221,-6.17578334689109,-5.97876072477888,-6.41508472063545,-6.33415363254079,-6.66789065987399,-6.52009400958909,-6.64490318215029,-5.79443254230484,-5.73551251135557,-4.57954116094976,-6.01868719722479,-4.48088557272995,-5.94466025218158,-5.94600147014505,-5.25881264395811,-6.1173997415942996,-4.95542208888195,-5.2865022936016,-6.25375264741803,-6.38623740693307,-5.32683042790208,-6.40337730906273,-4.86247478087694,-6.50913366484385,-6.2664134415532,-6.28271610850365,-6.47823563031953,-6.30203660643805,-4.981595946881,-5.29398563054447,-5.05406685263499,-5.65545212228342,-5.60623000016239,-5.77858780841737,-6.35126409981978,-6.17140069641664,-6.45306075070256,-5.90143408074304,-4.47613643083016,-6.34601617073808,-6.01009064441858,-5.05630560027642,-6.70284213207673,-6.59864389913144,-6.47185728263481,-5.84517872789268,-4.66733033038694,-6.6800935959496,-4.74890628954575,-6.07882216068886,-6.47745987325814,-6.63719834670558,-6.54189375352338,-6.54547385625431,-6.56377552260103,-6.52892447739589,-6.05361839667767,-6.25447919133302,-3.34619381977178,-4.91426395630022,-5.01923911782795,-6.55945603187076,-5.16183745610775,-6.26211809282853,-6.49636927211455,-5.19217230264513,-2.21150544961919,-6.64681972709764,-6.80137364662168,-6.21035771854532,-6.48662952129947,-6.58718753355303,-4.26028780510694,-6.67118357391014,-5.56839495642198,-6.59729033818744,-4.92962313415353,-6.87875293025062,-3.88574774559078,-3.4274891702212
