estimates,SE,P.value,type,ASV
-4.73667493042382e-05,4.44678311595981e-05,0.092,B,asv_000575
-9.60416164421445e-07,1.04348051230138e-05,0.836,G,asv_000575
-0.000106527237451357,5.75154062867844e-05,0.076,B,asv_000596
0,1.10956124907788e-05,0.546,G,asv_000596
0.00020062198847857,0.000355424013598896,0.684,B,asv_000629
3.26717036310062e-06,6.6023389441611e-05,0.636,G,asv_000629
0,0,0,B,asv_000630
0,0,0,G,asv_000630
4.36650097698298e-06,9.62984710242101e-05,0.882,B,asv_000641
5.84249959163294e-06,1.51800035740831e-05,0.71,G,asv_000641
-0.000136279441841996,7.82566843101444e-05,0.252,B,asv_000669
0,1.31203297220295e-05,0.552,G,asv_000669
-0.000305639084450724,0.00016103476530092,0.068,B,asv_000672
4.69639453151725e-06,3.32020440552389e-05,0.482,G,asv_000672
-7.92943794130366e-05,5.76042637366647e-05,0.334,B,asv_000674
1.67101520978206e-09,1.07052855800806e-05,0.47,G,asv_000674
0,0,0,B,asv_000711
0,0,0,G,asv_000711
-2.04838809562196e-05,1.94879741065412e-05,0.666,B,asv_000719
0,3.99779506352646e-06,0.274,G,asv_000719
-1.92146496052532e-05,4.76396019520739e-05,0.612,B,asv_000791
-3.49902131528964e-06,1.09372623193249e-05,0.752,G,asv_000791
-5.63419548533028e-06,3.48220912772216e-05,0.67,B,asv_000860
-1.3641733671557e-06,4.69640982503457e-06,0.346,G,asv_000860
-0.000158634003071419,0.000150531947649192,0.218,B,asv_000862
4.56242533306047e-05,4.03612869887537e-05,0.2,G,asv_000862
-2.69936186419799e-05,5.44423799914306e-05,0.686,B,asv_000896
4.77641428580091e-06,1.29291994048947e-05,0.17,G,asv_000896
-5.66162530237037e-05,8.79969495768989e-05,0.136,B,asv_000906
-3.04552213181081e-06,1.2639148847588e-05,0.33,G,asv_000906
-8.72549402284405e-05,4.01982489768666e-05,0.002,B,asv_000920
-1.99096870944511e-06,4.27853900813364e-06,0.454,G,asv_000920
1.92470909047677e-05,7.05379127886891e-05,0.638,B,asv_000986
0,1.31050971181129e-05,0.428,G,asv_000986
-0.000227909007309814,8.8889600844615e-05,0.014,B,asv_001001
0,2.12707700157272e-05,0.464,G,asv_001001
-6.85248799739836e-06,2.72431480866706e-06,0.02,B,asv_001011
-1.02667972309435e-07,8.66682968338627e-07,0.742,G,asv_001011
0,9.46596887395209e-13,0.694,B,asv_001026
0,1.19958223848639e-07,0.3,G,asv_001026
2.53775260281691e-05,4.77325931246041e-05,0.676,B,asv_001052
0,7.86118328202874e-06,0.45,G,asv_001052
0.000164104432264239,9.7787612745038e-05,0.258,B,asv_001057
0,1.56007058524479e-05,0.302,G,asv_001057
0,0,0,B,asv_001063
0,0,0,G,asv_001063
0,0,0,B,asv_001073
0,0,0,G,asv_001073
0,0,0,B,asv_001085
0,0,0,G,asv_001085
-5.18533088737915e-07,1.77298560600186e-06,0.364,B,asv_001140
0,5.75310723361062e-07,0.742,G,asv_001140
-8.19127464802916e-06,2.92527586161109e-05,0.33,B,asv_001141
-3.19655121509317e-09,5.12749620268629e-06,0.426,G,asv_001141
3.21522998007746e-05,2.17411579499992e-05,0.056,B,asv_001167
-1.26518821223565e-06,3.54779175470284e-06,0.772,G,asv_001167
-0.000159369298278103,0.000254240124461088,0.77,B,asv_001169
-2.07474256579603e-06,4.7421355823128e-05,0.866,G,asv_001169
0,0,0,B,asv_001183
0,0,0,G,asv_001183
-2.26674300917608e-05,1.54713735059972e-05,0.16,B,asv_001204
9.29834731199125e-07,3.60454204449531e-06,0.518,G,asv_001204
-2.9876813195622e-06,2.19351282074926e-05,0.722,B,asv_001207
0,4.7958202421372e-06,0.562,G,asv_001207
2.04657726050835e-05,0.000110757852046387,0.92,B,asv_001232
-2.6279127174421e-05,1.94200778233622e-05,0.044,G,asv_001232
0,0,0,B,asv_001234
0,0,0,G,asv_001234
