estimates,SE,P.value,type,ASV
0,4.4918668161495e-06,0.316,G,asv_000570
-3.45068409642713e-05,2.04030991947581e-05,0.038,B,asv_000575
-1.10736983132896e-06,3.18457776337861e-06,0.558,G,asv_000575
-0.000682030499053427,0.000167893825000654,0,B,asv_000596
-4.69727323897479e-06,1.85451999595396e-05,0.764,G,asv_000596
6.21341336116239e-05,0.000128184233799834,0.488,B,asv_000629
1.89628122304364e-09,2.60906055277277e-05,0.344,G,asv_000629
6.23095276890341e-05,0.000125011258737228,0.33,B,asv_000630
8.52747882010476e-06,3.40937295975276e-05,0.788,G,asv_000630
0,6.63576828913642e-14,0.05,B,asv_000641
0,5.37548737044006e-09,0.144,G,asv_000641
-3.4724130670343e-05,2.53931860758167e-05,0.176,B,asv_000669
1.5614851973442e-06,4.9641254195342e-06,0.322,G,asv_000669
-0.000308995846489452,9.71574008877104e-05,0.006,B,asv_000672
7.64544332828624e-06,1.65943043288902e-05,0.242,G,asv_000672
0,1.41896035917812e-15,0.022,B,asv_000674
0,5.68888217882538e-11,0.024,G,asv_000674
2.05167217950163e-05,8.96676003072733e-05,0.844,B,asv_000711
-2.1834115315752e-06,1.08754540833007e-05,0.604,G,asv_000711
5.11202445319711e-05,0.000157586689466255,0.738,B,asv_000719
2.10688037462019e-05,3.42664297352894e-05,0.16,G,asv_000719
0,6.85642798502197e-15,0.144,B,asv_000791
0,2.18055208443642e-10,0.106,G,asv_000791
-7.96642179337573e-05,5.84753040271898e-05,0.172,B,asv_000860
1.62365326726027e-06,7.96469363159936e-06,0.426,G,asv_000860
-0.000725733080100466,0.000221859404579571,0,B,asv_000862
1.23221653416848e-07,3.15459751398402e-05,0.808,G,asv_000862
-4.28128248906831e-05,1.96842696492669e-05,0.032,B,asv_000896
-3.30534990413203e-07,2.90327228172372e-06,0.428,G,asv_000896
-0.000433127786628891,0.000211334947280678,0.034,B,asv_000906
-5.80740395224419e-05,3.63560837925624e-05,0.028,G,asv_000906
-0.0003219669230466,0.000146453673712294,0.024,B,asv_000920
0,1.49967887562111e-05,0.436,G,asv_000920
0.000153389345273199,9.38728805083866e-05,0.078,B,asv_000986
0,1.64520389760746e-05,0.526,G,asv_000986
-0.000528110659526437,0.000122269670318914,0,B,asv_001001
7.30285646702751e-06,1.81657302881341e-05,0.482,G,asv_001001
-0.000354295944368268,0.000112000726205756,0,B,asv_001011
0,1.85344252100683e-05,0.738,G,asv_001011
0,0,0,B,asv_001026
0,0,0,G,asv_001026
0,0,0,B,asv_001052
0,0,0,G,asv_001052
6.22519518443247e-05,7.5266684141471e-05,0.434,B,asv_001057
-5.43782625863944e-06,1.27153886354856e-05,0.13,G,asv_001057
-0.000263998673852172,0.000124384489848009,0.06,B,asv_001063
-5.32320637378491e-12,2.86477091037598e-05,0.264,G,asv_001063
-8.74786031276779e-06,1.6490363540553e-05,0.662,B,asv_001073
8.46797597738446e-07,2.45541563879785e-06,0.274,G,asv_001073
-0.000342911263826773,0.000119162497397723,0,B,asv_001085
0,1.86302263782513e-05,0.686,G,asv_001085
0,0,0,B,asv_001140
0,0,0,G,asv_001140
0,0,0,B,asv_001141
0,0,0,G,asv_001141
-3.97390710486057e-05,1.9981309756115e-05,0.062,B,asv_001167
-8.9596762672251e-07,3.1796295355596e-06,0.872,G,asv_001167
1.31148819042536e-05,5.62052339573492e-05,0.726,B,asv_001169
0,8.28754916311068e-06,0.606,G,asv_001169
1.56546517589685e-05,1.94794824420176e-05,0.368,B,asv_001183
0,2.30871120893169e-06,0.672,G,asv_001183
-0.000150652318801909,5.02942950207405e-05,0.012,B,asv_001204
1.65920630344275e-06,8.89333271911515e-06,0.624,G,asv_001204
2.40238361610373e-05,8.3655184116866e-05,0.638,B,asv_001207
1.72998454880105e-09,1.50381071696329e-05,0.72,G,asv_001207
4.56140815357214e-05,2.64168813017364e-05,0.084,B,asv_001232
1.15726205554838e-07,4.6607613485542e-06,0.588,G,asv_001232
-0.000325361563893201,8.45106547687696e-05,0.002,B,asv_001234
3.75910758248311e-06,1.45335127924199e-05,0.222,G,asv_001234
-3.28292164715329e-05,1.53586951957541e-05,0.032,B,asv_001244
0,2.58879996142299e-06,0.708,G,asv_001244
-0.000344223803248915,0.000100264134812988,0,B,asv_001255
0,1.5192909490971e-05,0.432,G,asv_001255
0,8.84129190811912e-15,0.1,B,asv_001276
0,2.99585419561271e-10,0.124,G,asv_001276
-0.000729273580417165,0.000189381620995496,0,B,asv_001292
3.25489731675993e-05,2.57307565605623e-05,0.138,G,asv_001292
0.000182573472669567,0.000119445507000491,0.08,B,asv_001294
0,1.50719600028447e-05,0.49,G,asv_001294
-7.3269699054533e-05,3.06787490582233e-05,0.008,B,asv_001303
6.79229520144323e-06,7.97110123798709e-06,0.352,G,asv_001303
0.000100875727726563,7.52280797742534e-05,0.146,B,asv_001312
3.77938606006114e-06,1.25323513471184e-05,0.852,G,asv_001312
-6.60105447142292e-05,5.7861274403014e-05,0.152,B,asv_001319
-7.69185687502737e-06,1.06341232576529e-05,0.406,G,asv_001319
0.00041701679775405,0.000131605419699981,0.002,B,asv_001323
0,2.0568822513457e-05,0.222,G,asv_001323
-4.20344257773729e-07,4.72142193358251e-06,0.9,B,asv_001347
1.15624865211188e-06,9.59986443922187e-07,0.704,G,asv_001347
-8.64673053259753e-06,2.1312934456508e-05,0.83,B,asv_001370
8.67519666892925e-07,5.35873304741169e-06,0.618,G,asv_001370
-0.000199634076241066,8.14022555037889e-05,0.008,B,asv_001416
-2.00379236169802e-05,1.36551671231839e-05,0.04,G,asv_001416
-7.40883494355366e-05,4.34076761154434e-05,0.156,B,asv_001444
0,6.35007515290382e-06,0.556,G,asv_001444
-6.49848278828551e-07,1.93047879427781e-05,0.974,B,asv_001446
-9.53289874734392e-08,3.33193377621744e-06,0.518,G,asv_001446
0,0,0,B,asv_001448
0,0,0,G,asv_001448
-5.89832616365003e-05,5.22403315408644e-05,0.398,B,asv_001461
0,1.0433610660856e-05,0.436,G,asv_001461
-1.03054606892758e-11,1.61962315158781e-11,0.258,B,asv_001466
1.09935820350326e-07,4.91259701590425e-07,0.438,G,asv_001466
-5.0874116287436e-05,2.2324881051954e-05,0.006,B,asv_001499
5.05853618948575e-12,3.34003364083684e-06,0.714,G,asv_001499
0,0,0,B,asv_001507
0,0,0,G,asv_001507
4.84289158962301e-05,0.000102820351194954,0.598,B,asv_001529
5.21659680635886e-06,1.07770643940605e-05,0.164,G,asv_001529
-3.91617172145469e-05,5.41731012050515e-05,0.446,B,asv_001532
-4.04761278031347e-07,1.29258353285774e-05,0.42,G,asv_001532
-1.36072237194761e-05,2.89845524681558e-05,0.31,B,asv_001572
-1.1190306736828e-07,7.63210099505965e-06,0.35,G,asv_001572
-6.87836028458922e-05,7.18297340805698e-05,0.45,B,asv_001582
2.69770586201995e-06,1.14218188366147e-05,0.666,G,asv_001582
-3.67551166135608e-06,1.42506131542091e-05,0.412,B,asv_001621
0,2.80661465883528e-06,0.282,G,asv_001621
0,0,0,B,asv_001649
0,0,0,G,asv_001649
-3.76880285771565e-05,9.67555732552228e-05,0.84,B,asv_001657
6.55611699651406e-06,1.75372946838379e-05,0.35,G,asv_001657
0,0,0,B,asv_001659
0,0,0,G,asv_001659
3.48080420444473e-05,5.46237795455609e-05,0.356,B,asv_001660
1.96204048688112e-06,9.22341202942401e-06,0.464,G,asv_001660
-0.000225933583201742,8.05166455411824e-05,0.028,B,asv_001667
8.51615866243999e-06,1.22925339565394e-05,0.03,G,asv_001667
-0.000129862759474095,9.97676396696638e-05,0.204,B,asv_001749
2.74860339915221e-06,1.68751189130733e-05,0.754,G,asv_001749
-0.000380220984970948,0.000180929321511141,0.01,B,asv_001772
3.08335108669086e-06,2.7430501961082e-05,0.54,G,asv_001772
7.2144373320448e-06,6.87685479056048e-06,0.126,B,asv_001806
1.00604774265815e-07,1.45041850189523e-06,0.906,G,asv_001806
-1.15078944627233e-05,4.78581399167086e-05,0.656,B,asv_001834
0,5.83569479211389e-06,0.736,G,asv_001834
0,0,0,B,asv_001840
0,0,0,G,asv_001840
-2.71592620859471e-05,2.28328856425485e-05,0.362,B,asv_001875
-1.03137554124995e-07,5.27610998767043e-06,0.358,G,asv_001875
-4.79819509111664e-16,8.28920173878657e-13,0.696,B,asv_001888
0,9.91471487320898e-08,0.32,G,asv_001888
-2.92389587808257e-05,2.87579960325259e-05,0.304,B,asv_001948
1.67305679959135e-09,5.14236586542959e-06,0.384,G,asv_001948
0.000118370112098575,3.58529502108676e-05,0,B,asv_001978
-1.02902124073866e-07,4.93563890791507e-06,0.654,G,asv_001978
-0.000157500289347325,6.36619614612593e-05,0.038,B,asv_001993
0,1.4220005228108e-05,0.342,G,asv_001993
3.08398492124179e-06,0.000178863606246688,0.894,B,asv_002018
1.14085162354288e-05,4.1792531014087e-05,0.924,G,asv_002018
0,0,0,B,asv_002136
0,0,0,G,asv_002136
-2.69069526075874e-05,5.38987268567953e-05,0.552,B,asv_002138
0,9.56964084398706e-06,0.58,G,asv_002138
0,0,0,B,asv_002166
0,0,0,G,asv_002166
-7.61849430743496e-05,0.000150244942546758,0.692,B,asv_002172
1.0320101860072e-07,3.92745288122034e-05,0.412,G,asv_002172
-6.1714722006707e-07,6.31428882483284e-07,0.202,B,asv_002205
1.68632298502947e-09,4.96769512410981e-07,0.818,G,asv_002205
8.32409136181387e-12,3.28791906589101e-11,0.71,B,asv_002309
0,5.06808642435238e-07,0.494,G,asv_002309
-0.000155789263244734,0.000145186435000815,0.286,B,asv_002353
-1.72881339957129e-05,2.66543256889466e-05,0.158,G,asv_002353
0,0,0,B,asv_002354
0,0,0,G,asv_002354
-0.00018884765441077,9.65586535293181e-05,0.014,B,asv_002358
-1.76467707161936e-09,1.60616945680934e-05,0.528,G,asv_002358
0.000313800002643679,0.000132052195072248,0.018,B,asv_002692
-1.47266476710993e-05,2.18208680902194e-05,0.176,G,asv_002692
0.000220136776043477,9.83504888819346e-05,0.074,B,asv_002742
-7.4182057683408e-06,1.14880631544826e-05,0.178,G,asv_002742
1.80025872882987e-05,3.40210911335395e-05,0.892,B,asv_002743
0,4.83128719113463e-06,0.41,G,asv_002743
0,0,0,B,asv_002768
0,0,0,G,asv_002768
-6.53440700509528e-05,1.98822618130954e-05,0.008,B,asv_002780
0,3.60253359019213e-06,0.266,G,asv_002780
4.91232759293618e-05,7.18621161885816e-05,0.53,B,asv_002796
8.02884303429818e-07,1.19877221467396e-05,0.636,G,asv_002796
0.000341428846322364,0.000106912255840283,0.014,B,asv_002841
0,2.32387873690282e-05,0.684,G,asv_002841
-1.54319753644734e-05,3.54011106432429e-05,0.652,B,asv_002995
8.76855245446904e-07,8.50023547072213e-06,0.372,G,asv_002995
0,0,0,B,asv_003033
0,0,0,G,asv_003033
3.8044429454218e-06,2.25164428901041e-05,0.866,B,asv_003250
1.26452991754987e-06,2.88788443281363e-06,0.952,G,asv_003250
-8.24097981779819e-06,3.02108226087552e-05,0.56,B,asv_003343
-6.7896127956344e-07,5.46806487179161e-06,0.776,G,asv_003343
0,0,0,B,asv_004447
0,0,0,G,asv_004447
2.10169848988254e-05,1.88646387164219e-05,0.122,B,asv_004558
1.58039588622816e-06,2.6039459287575e-06,0.132,G,asv_004558
4.11809306318812e-06,4.07486725045356e-05,0.646,B,asv_004714
2.33661586585719e-06,1.12173146522504e-05,0.49,G,asv_004714
-1.03378726439431e-11,4.82770148537302e-12,0.194,B,asv_014370
0,4.58538584317175e-07,0.474,G,asv_014370
